Record ID#,Spacecraft Name,Similarity %,GS Spacecraft,Date,Vehicle Name,Launch Site,Remark,Country,Market Segment,Operator,Prime Manufacturer,Equipment,Configuration,Propulsion,Power,Design Life,Mass,Cospar
136,YAM 5,100.0,YAM 5,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Loft Orbital,Loft Orbital (payload hub); LeoStella (bus),see above,LeoStella bus,None,"Deployable fixed solar arrays, solar cells, batteries",,83 kg,2023-001BV
75,Lynk Tower 03,90.0,Lynk Tower 03 (Lynk 08),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communications,Lynk Global Inc.,Lynk Global Inc.,,,,"solar cells, batteries",,,2023-001AP
76,Lynk Tower 04,90.0,Lynk Tower 04 (Lynk 09),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communications,Lynk Global Inc.,Lynk Global Inc.,,,,"solar cells, batteries",,,2023-001AB
126,Umbra SAR 4,96.0,Umbra-SAR 04,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, radar",Umbra Lab,Umbra Lab,X-band SAR,,None,"Solar cells, batteries",,65 kg,2023-001AT
127,Umbra SAR 5,96.0,Umbra-SAR 05,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, radar",Umbra Lab,Umbra Lab,X-band SAR,,None,"Solar cells, batteries",,65 kg,2023-001AD
15,EOS-SAT 1,90.0,EOS-SAT 1 (EOS Agrisat-1),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,South Africa,Earth observation,Dragonfly Aerospace,Dragonfly Aerospace,2 × Dragoneye imagers,µDragonfly bus,,"Solar cells, batteries",,178 kg,2023-001AW
59,ICEYE X21,100.0,ICEYE X21,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,"Finland, USA (#10, 17, 24)","Earth observation, Radar",ICEYE,ICEYE,X-band SAR,,?,"2 deployable solar arrays, batteries",,,2023-001AS
60,ICEYE X22,100.0,ICEYE X22,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,"Finland, USA (#10, 17, 24)","Earth observation, Radar",ICEYE,ICEYE,X-band SAR,,?,"2 deployable solar arrays, batteries",,,2023-001
61,ICEYE X27,100.0,ICEYE X27,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,"Finland, USA (#10, 17, 24)","Earth observation, Radar",ICEYE,ICEYE,X-band SAR,,?,"2 deployable solar arrays, batteries",,,2023-001BF
3,Amber IOD-3 (Amber - 1),86.0,"ÑuSat 32 (NewSat 32, Aleph-1 32, Albania 1)",01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Argentina,Earth observation,Satellogic S.A.,Satellogic S.A.,"Imaging payload (all), LUSEX U/V linear transponder payload (#1)",,None,"Solar cells, batteries",3-4 years,37.5 kg; 41 kg (#9-18),2023-001BH
3,Amber IOD-3 (Amber - 1),86.0,"ÑuSat 33 (NewSat 35, Aleph-1 33, Albania 2)",01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Argentina,Earth observation,Satellogic S.A.,Satellogic S.A.,"Imaging payload (all), LUSEX U/V linear transponder payload (#1)",,None,"Solar cells, batteries",3-4 years,37.5 kg; 41 kg (#9-18),2023-001AQ
3,Amber IOD-3 (Amber - 1),86.0,"ÑuSat 34 (NewSat 34, Aleph-1 34, Amelia Earhart)",01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Argentina,Earth observation,Satellogic S.A.,Satellogic S.A.,"Imaging payload (all), LUSEX U/V linear transponder payload (#1)",,None,"Solar cells, batteries",3-4 years,37.5 kg; 41 kg (#9-18),2023-001AN
3,Amber IOD-3 (Amber - 1),86.0,"ÑuSat 35 (NewSat 35, Aleph-1 35, Williamina Fleming)",01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Argentina,Earth observation,Satellogic S.A.,Satellogic S.A.,"Imaging payload (all), LUSEX U/V linear transponder payload (#1)",,None,"Solar cells, batteries",3-4 years,37.5 kg; 41 kg (#9-18),2023-001AR
108,Skykraft Deployer 1_x000D_,89.0,Skykraft Deployer 1,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Australia,Satellite deployment,Skykraft,Skykraft,,,?,"Solar array, batteries",,,2023-001AJ
104,SkyKraft 1,100.0,Skykraft 1,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Australia,Communication,Skykraft,Skykraft,"ADS-B receiver, VHS communications payload",,,"Solar array, batteries",,,2023-001AX
105,SkyKraft 2,100.0,Skykraft 2,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Australia,Communication,Skykraft,Skykraft,"ADS-B receiver, VHS communications payload",,,"Solar array, batteries",,,
106,SkyKraft 3,100.0,Skykraft 3,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Australia,Communication,Skykraft,Skykraft,"ADS-B receiver, VHS communications payload",,,"Solar array, batteries",,,
107,SkyKraft 4,100.0,Skykraft 4,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Australia,Communication,Skykraft,Skykraft,"ADS-B receiver, VHS communications payload",,,"Solar array, batteries",,,
10,Chimera LEO-1_x000D_,90.0,Chimera LEO-1,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Satellite deployment,Epic Aerospace,Epic Aerospace,CubeSat deployers,,,Batteries,,,2023-001
64,ION SCV 007,90.0,ION-SCV 007 (Glorious Gratia),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Italy,Satellite deployment,D-Orbit,D-Orbit,CubeSat deployers,ION mk02 platform,?,"Solar cells, batteries",,,2023-001BD
65,ION SCV 008,90.0,ION-SCV 008 (Fierce Franciscus),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Italy,Satellite deployment,D-Orbit,D-Orbit,CubeSat deployers,ION mk02 platform,?,"Solar cells, batteries",,,2023-001AU
7,Astrocast 0404,93.0,Astrocast 0401,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Switzerland,Communication M2M/IoT,Astrocast SA (formerly ELSE SA),,,CubeSat (3U),?,"2 deployable solar arrays, batteries",,5 kg,2023-001
7,Astrocast 0404,93.0,Astrocast 0402,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Switzerland,Communication M2M/IoT,Astrocast SA (formerly ELSE SA),,,CubeSat (3U),?,"2 deployable solar arrays, batteries",,5 kg,2023-001
7,Astrocast 0404,93.0,Astrocast 0403,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Switzerland,Communication M2M/IoT,Astrocast SA (formerly ELSE SA),,,CubeSat (3U),?,"2 deployable solar arrays, batteries",,5 kg,2023-001
7,Astrocast 0404,100.0,Astrocast 0404,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Switzerland,Communication M2M/IoT,Astrocast SA (formerly ELSE SA),,,CubeSat (3U),?,"2 deployable solar arrays, batteries",,5 kg,2023-001
55,Futura SM1_x000D_,90.0,Futura SM1,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Italy,Technology,SpaceMind,SpaceMind,,CubeSat (3U),None,"Solar cells, batteries",,,2023-001DA
56,Futura SM3_x000D_,90.0,Futura SM3,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Italy,Technology,SpaceMind,SpaceMind,,CubeSat (6U),None,"Solar cells, batteries",,,2023-001DB
67,Kelpie 1,90.0,Kelpie 1 (AAC-AIS-SAT 1),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Sweden,Traffic monitoring,AAC Clyde Space for Orbcomm,AAC Clyde Space,AIS-receiver,CubeSat (3U),,"3 deployable fixed solar arrays, batteries",,,2023-001DC
102,Sharjah-Sat 1_x000D_,90.0,Sharjah-Sat 1,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,UAE,Technology,,,,CubeSat (3U),None,"Solar cells, batteries",,,2023-001CZ
123,Tau-Sat 2,100.0,TAU-SAT 2,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Israel,"Technology, education",Tel Aviv University,Tel Aviv University,?,CubeSat (3U),None,"Solar cells, batteries",,,2023-001BS
89,Orbiter Tug 1 (Orbiter SN1),90.0,Orbiter SN1,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Satellite deployment,Launcher,Launcher,CubeSat deployers,,?,"Solar cells, batteries",,,2023-001
77,MDQube Sat 1A,86.0,MDQSAT 1A (Juana Azurduy),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Argentina,Technology,Innova Space,Innova Space,,CubeSat (0.5U),None,"Solar cells, batteries",,,2023-001
78,MDQube Sat 1B,86.0,MDQSAT 1B (Simón Bolivar),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Argentina,Technology,Innova Space,Innova Space,,CubeSat (0.5U),None,"Solar cells, batteries",,,2023-001
97,Sapling 1,90.0,Sapling 1 (Sapling Sempervirens),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Stanford University,Stanford University,,CubeSat (1U),None,"Solar cells, batteries",,1.75 kg,2023-001
128,Unicorn 2G_x000D_,90.0,Unicorn 2G,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,UK,Technology,Alba Orbital,Alba Orbital,,PocketQube (3P),None,"Solar cells, batteries",45 days,< 1 kg,2023-001
129,Unicorn 2H_x000D_,90.0,Unicorn 2H,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,UK,Technology,Alba Orbital,Alba Orbital,,PocketQube (3P),None,"Solar cells, batteries",45 days,< 1 kg,2023-001
130,Vigoride 5,100.0,Vigoride 5,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Satellite deployment,Momentus,Momentus,CubeSat deployers,,Water based microwave electrothermal thrusters,"Solar cells, batteries",,,2023-001AZ
137,ZEUS 1_x000D_,90.0,ZEUS 1,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Singapore,Technology,Qosmosys,Qosmosys,,CubeSat (3U),,"Solar arrays, batteries",,,2023-001
8158,Kleos s/c #66,100.0,KSF 3A,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Luxembourg,"RF spectrum monitoring, SIGINT, Traffic monitoring",Kleos Space,ISISpace,,CubeSat (6U),,"Solar cells, batteries",,,2023-001CF
8159,Kleos s/c #67,100.0,KSF 3B,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Luxembourg,"RF spectrum monitoring, SIGINT, Traffic monitoring",Kleos Space,ISISpace,,CubeSat (6U),,"Solar cells, batteries",,,2023-001L
8160,Kleos s/c #68,100.0,KSF 3C,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Luxembourg,"RF spectrum monitoring, SIGINT, Traffic monitoring",Kleos Space,ISISpace,,CubeSat (6U),,"Solar cells, batteries",,,2023-001K
8161,Kleos s/c #69,100.0,KSF 3D,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Luxembourg,"RF spectrum monitoring, SIGINT, Traffic monitoring",Kleos Space,ISISpace,,CubeSat (6U),,"Solar cells, batteries",,,2023-001CE
18,Flock-4y 1,90.0,Flock-4y 1 (Dove 2415),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001AG
29,Flock-4y 2,90.0,Flock-4y 2 (Dove 24A1),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BT
40,Flock-4y 3,90.0,Flock-4y 3 (Dove 242E),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001AC
48,Flock-4y 4,90.0,Flock-4y 4 (Dove 24B0),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001AY
49,Flock-4y 5,90.0,Flock-4y 5 (Dove 24B4),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001V
50,Flock-4y 6,90.0,Flock-4y 6 (Dove 24AF),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BK
51,Flock-4y 7,90.0,Flock-4y 7 (Dove 2417),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001Z
52,Flock-4y 8,90.0,Flock-4y 8 (Dove 24AB),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BQ
53,Flock-4y 9,90.0,Flock-4y 9 (Dove 24A8),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BN
18,Flock-4y 1,90.0,Flock-4y 10 (Dove 24C3),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001W
18,Flock-4y 1,90.0,Flock-4y 11 (Dove 24A7),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001AL
18,Flock-4y 1,90.0,Flock-4y 12 (Dove 24CF),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BJ
18,Flock-4y 1,90.0,Flock-4y 13 (Dove 24C7),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BY
18,Flock-4y 1,90.0,Flock-4y 14 (Dove 24B5),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001R
18,Flock-4y 1,90.0,Flock-4y 15 (Dove 24B3),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BM
18,Flock-4y 1,90.0,Flock-4y 16 (Dove 24C9),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001AH
18,Flock-4y 1,90.0,Flock-4y 17 (Dove 24C2),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001Y
