Record ID#,Spacecraft Name,Similarity %,GS Spacecraft,Date,Vehicle Name,Launch Site,Remark,Country,Market Segment,Operator,Prime Manufacturer,Equipment,Configuration,Propulsion,Power,Design Life,Mass,Cospar
18,Flock-4y 1,90.0,Flock-4y 18 (Dove 24CE),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001Q
18,Flock-4y 1,90.0,Flock-4y 19 (Dove 24A9),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001T
29,Flock-4y 2,90.0,Flock-4y 20 (Dove 24CA),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BG
29,Flock-4y 2,90.0,Flock-4y 21 (Dove 24BA),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BW
29,Flock-4y 2,90.0,Flock-4y 22 (Dove 24C1),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001P
29,Flock-4y 2,90.0,Flock-4y 23 (Dove 24BC),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BZ
29,Flock-4y 2,90.0,Flock-4y 24 (Dove 24B9),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001M
29,Flock-4y 2,90.0,Flock-4y 25 (Dove 24B2),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001U
29,Flock-4y 2,90.0,Flock-4y 26 (Dove 24C4),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BP
29,Flock-4y 2,90.0,Flock-4y 27 (Dove 24C8),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001CC
29,Flock-4y 2,90.0,Flock-4y 28 (Dove 24B1),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001AA
29,Flock-4y 2,90.0,Flock-4y 29 (Dove 24BB),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001X
40,Flock-4y 3,90.0,Flock-4y 30 (Dove 24C0),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001S
40,Flock-4y 3,90.0,Flock-4y 31 (Dove 24BE),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BX
40,Flock-4y 3,90.0,Flock-4y 32 (Dove 24B6),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001N
40,Flock-4y 3,90.0,Flock-4y 33 (Dove 24BF),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001AK
40,Flock-4y 3,90.0,Flock-4y 34 (Dove 24CC),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001CB
40,Flock-4y 3,90.0,Flock-4y 35 (Dove 24C5),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BA
40,Flock-4y 3,90.0,Flock-4y 36 (Dove 24D0),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BU
69,Lemur-2 157,90.0,Lemur-2 157 (Lemur-2 Disclaimer),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001F
70,Lemur-2 158,90.0,Lemur-2 158 (Lemur-2 Emmaculate),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001AE
71,Lemur-2 159,90.0,Lemur-2 159 (Lemur-2 FuenteTaja-01),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001CH
72,Lemur-2 160,90.0,Lemur-2 160 (Lemur-2 MMolo),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001AF
73,Lemur-2 161,90.0,Lemur-2 161 (Lemur-2 PhilAri),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001E
74,Lemur-2 162,90.0,Lemur-2 162 (Lemur-2 SteveAlbers),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001J
120,SpaceBEE 167,92.0,SpaceBEE 156,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CU
120,SpaceBEE 167,92.0,SpaceBEE 157,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CX
111,SpaceBEE 158_x000D_,90.0,SpaceBEE 158,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CV
112,SpaceBEE 159_x000D_,90.0,SpaceBEE 159,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CW
120,SpaceBEE 167,92.0,SpaceBEE 160,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CS
120,SpaceBEE 167,92.0,SpaceBEE 161,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CR
120,SpaceBEE 167,92.0,SpaceBEE 162,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CQ
120,SpaceBEE 167,92.0,SpaceBEE 163,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CJ
120,SpaceBEE 167,92.0,SpaceBEE 164,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CL
120,SpaceBEE 167,92.0,SpaceBEE 165,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CP
120,SpaceBEE 167,92.0,SpaceBEE 166,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CM
120,SpaceBEE 167,100.0,SpaceBEE 167,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CG
16,EWS RROCI_x000D_,90.0,EWS RROCI,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Meteorology,USSF Space Systems Command (SMC),"Orion Space Solutions (OSS) (formerly Astra LLC), Lockheed Martin, Science and Technology Corporation, Pumpkin, Inc., Atmospheric & Environmental Research (AER)",RROCI imager,CubeSat (12U),?,"2 deployable solar arrays, solar cells, batteries",,,2023-001
9,BRO 8_x000D_,90.0,BRO 8,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,France,"RF spectrum monitoring, SIGINT, Traffic monitoring",UnseenLabs,UnseenLabs (payload); GOMSpace (bus),,CubeSat (6U),,"Solar cells, batteries",,6 kg,2023-001C
5805,Fleet 12,100.0,Gama Alpha,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,France,Technology,Gama,Gama,Deployable solar sail,CubeSat (6U),,"Solar cells, batteries",,,2023-001CD
79,Menut,90.0,Menut (GENEO),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,"Spain, U.K.",Technology,Open Cosmos,Open Cosmos,,CubeSat (6U),None,"Solar cells, batteries",,,2023-001B
80,MilSpace2 1,90.0,MilSpace2 1 (Birkeland),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,"Norway, Netherlands",Technology,"Norwegian Defence Research Establishment (FFI), Royal Netherlands Aerospace Centre (NLR), Netherlands Organisation for Applied Scientific Research (TNO)",NanoAvionics,,CubeSat (6U),None,"Solar cells, batteries",,10 kg,2023-001G
81,MilSpace2 2,90.0,MilSpace2 2 (Huygens),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,"Norway, Netherlands",Technology,"Norwegian Defence Research Establishment (FFI), Royal Netherlands Aerospace Centre (NLR), Netherlands Organisation for Applied Scientific Research (TNO)",NanoAvionics,,CubeSat (6U),None,"Solar cells, batteries",,10 kg,2023-001CN
10037,NorthStar Hyperspectral 28,90.0,NSLSat 2 (BeetleSat 1),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Israel,Technology,NSLComm → BeetleSat,ÅAC Clyde Space,,CubeSat (6U),,"Solar cells, batteries",,9 kg,2023-001BL
90,Platform 2,90.0,Platform 2 (SharedSat 2211),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Bulgaria,Technology,EnduroSat,EnduroSat,,CubeSat (6U),,"Solar cells, batteries",,,2023-001
121,STAR-VIBE_x000D_,90.0,STAR-VIBE,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Poland,"Technology, earth observation",Scanway Space,Scanway Space; German Orbital Systems (bus),,CubeSat (6U),None,"Solar cells, batteries",,,2023-001A
122,Sternula 1_x000D_,90.0,Sternula 1,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Denmark,"Technology, traffic monitoring, communications",Sternula,Space Inventor A/S,"AIS 2.0 receiver, VDES payload",CubeSat (6U),None,"Solar cells, batteries",,,2023-001AX
17,EYE 1,90.0,EYE 1 (Star Sphere 1),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Japan,Earth observation,Sony,University of Tokyo,,CubeSat (6U),Water thruster,"Solar cells, batteries",?,,2023-001BR
13,Connecta T1,90.0,Connecta T1.2,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Turkey,"Technology, communication",Plan-S,),,CubeSat (3U),None,"Solar cells, batteries",,,2023-001D
58,Guardian alpha_x000D_,90.0,Guardian alpha,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,U.K.,Technology,OrbAstro,OrbAstro,,CubeSat (3U),2 × FEEP,"Solar cells, batteries",,,2023-001
91,PolyITAN-HP-30,90.0,PolyITAN-HP-30 (QBUA01),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Ukraine,Technology,National Technical University of Ukraine  KPI,National Technical University of Ukraine  KPI,,CubeSat (2U),None,"Solar cells, batteries",,2 kg,2023-001
68,KuwaitSat 1_x000D_,90.0,KuwaitSat 1,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Kuwait,Technology,Kuwait University,Kuwait University,,CubeSat (2U),None,"Solar cells, batteries",,2 kg,2023-001CY
8,BDSAT 2_x000D_,90.0,BDSAT 2,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,Czech Republic,Technology,"BD Sensors, Central European Institute of Technology (CEITEC)","BD Sensors, Central European Institute of Technology (CEITEC)",,CubeSat (1U),None,"Solar cells, batteries",,1 kg,2023-001CT
96,Pushan alpha,100.0,Pushan alpha,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,India,Technology,Digantara,Digantara,,CubeSat (3U),None,"Solar cells, batteries",,,2023-001
,,,PROVES-Yearling,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Cal Poly Pomonas Bronco Space,Cal Poly Pomonas Bronco Space,,CubeSat (1U),None,"Solar cells, batteries",,1.75 kg,2023-001
