Record ID#,Spacecraft Name,Launch Code (Using Record ID)
1,AMAN_x000D_,2023-1-9-0002
2,Amazonas Nexus,2023-1-31-0003
3,Amber IOD-3 (Amber - 1),2023-1-9-0002
4,Astrocast 0401_x000D_,2023-1-3-0001
5,Astrocast 0402_x000D_,2023-1-3-0001
6,Astrocast 0403_x000D_,2023-1-3-0001
7,Astrocast 0404,2023-1-3-0001
8,BDSAT 2_x000D_,2023-1-3-0001
9,BRO 8_x000D_,2023-1-3-0001
10,Chimera LEO-1_x000D_,2023-1-3-0001
11,CIRCE 1_x000D_,2023-1-3-0001
12,CIRCE 2_x000D_,2023-1-3-0001
13,Connecta T1.2_x000D_,2023-1-3-0001
14,DOVER_x000D_,2023-1-3-0001
15,EOS-SAT 1,2023-1-3-0001
16,EWS RROCI_x000D_,2023-1-3-0001
17,EYE 1,2023-1-3-0001
18,Flock-4y 1,2023-1-3-0001
19,Flock-4y 10,2023-1-3-0001
20,Flock-4y 11,2023-1-3-0001
21,Flock-4y 12,2023-1-3-0001
22,Flock-4y 13,2023-1-3-0001
23,Flock-4y 14,2023-1-3-0001
24,Flock-4y 15,2023-1-3-0001
25,Flock-4y 16,2023-1-3-0001
26,Flock-4y 17,2023-1-3-0001
27,Flock-4y 18,2023-1-3-0001
28,Flock-4y 19,2023-1-3-0001
29,Flock-4y 2,2023-1-3-0001
30,Flock-4y 20,2023-1-3-0001
31,Flock-4y 21,2023-1-3-0001
32,Flock-4y 22,2023-1-3-0001
33,Flock-4y 23,2023-1-3-0001
34,Flock-4y 24,2023-1-3-0001
35,Flock-4y 25,2023-1-3-0001
36,Flock-4y 26,2023-1-3-0001
37,Flock-4y 27,2023-1-3-0001
38,Flock-4y 28,2023-1-3-0001
39,Flock-4y 29,2023-1-3-0001
40,Flock-4y 3,2023-1-3-0001
41,Flock-4y 30,2023-1-3-0001
42,Flock-4y 31,2023-1-3-0001
43,Flock-4y 32,2023-1-3-0001
44,Flock-4y 33,2023-1-3-0001
45,Flock-4y 34,2023-1-3-0001
46,Flock-4y 35,2023-1-3-0001
47,Flock-4y 36,2023-1-3-0001
48,Flock-4y 4,2023-1-3-0001
49,Flock-4y 5,2023-1-3-0001
50,Flock-4y 6,2023-1-3-0001
51,Flock-4y 7,2023-1-3-0001
52,Flock-4y 8,2023-1-3-0001
53,Flock-4y 9,2023-1-3-0001
54,ForgeStar-0,2023-1-3-0001
55,Futura SM1_x000D_,2023-1-3-0001
56,Futura SM3_x000D_,2023-1-3-0001
57,Gama Alpha_x000D_,2023-1-3-0001
58,Guardian alpha_x000D_,2023-1-3-0001
59,ICEYE X21,2023-1-3-0001
60,ICEYE X22,2023-1-3-0001
61,ICEYE X27,2023-1-3-0001
62,IGS Radar 7,
63,IMECE,
64,ION SCV 007,2023-1-3-0001
65,ION SCV 008,2023-1-3-0001
66,Keji 1_x000D_,2023-1-3-0001
67,Kelpie 1,2023-1-3-0001
68,KuwaitSat 1_x000D_,2023-1-3-0001
69,Lemur-2 157,2023-1-3-0001
70,Lemur-2 158,2023-1-3-0001
71,Lemur-2 159,2023-1-3-0001
72,Lemur-2 160,2023-1-3-0001
73,Lemur-2 161,2023-1-3-0001
74,Lemur-2 162,2023-1-3-0001
75,Lynk Tower 03,2023-1-3-0001
76,Lynk Tower 04,2023-1-3-0001
77,MDQube Sat 1A,2023-1-3-0001
78,MDQube Sat 1B,2023-1-3-0001
79,Menut,2023-1-3-0001
80,MilSpace2 1,2023-1-3-0001
81,MilSpace2 2,2023-1-3-0001
82,Nantong Zhongxue,2023-1-3-0001
83,Navstar GPS III-6,2023-1-31-0003
84,NSLSat 2_x000D_,2023-1-3-0001
85,NuSat 32,2023-1-3-0001
86,NuSat 33,2023-1-3-0001
87,NuSat 34,2023-1-3-0001
88,NuSat 35,2023-1-3-0001
89,Orbiter Tug 1 (Orbiter SN1),2023-1-3-0001
90,Platform 2,2023-1-3-0001
91,PolyITAN-HP-30,2023-1-3-0001
92,PredaSAR 1,
93,Prometheus 2A_x000D_,2023-1-9-0002
94,Prometheus 2B_x000D_,2023-1-9-0002
95,PROVES-Yearling_x000D_,2023-1-3-0001
96,Pushan alpha,2023-1-3-0001
97,Sapling 1,2023-1-3-0001
98,SARah 2,2023-1-31-0003
99,SARah 3,2023-1-31-0003
100,SES 18,2023-1-31-0003
101,SES 19,2023-1-31-0003
102,Sharjah-Sat 1_x000D_,2023-1-3-0001
103,SJ 23,2023-1-8-0004
104,SkyKraft 1,2023-1-3-0001
105,SkyKraft 2,2023-1-3-0001
106,SkyKraft 3,2023-1-3-0001
107,SkyKraft 4,2023-1-3-0001
108,Skykraft Deployer 1_x000D_,2023-1-3-0001
109,SpaceBEE 156_x000D_,2023-1-3-0001
110,SpaceBEE 157_x000D_,2023-1-3-0001
111,SpaceBEE 158_x000D_,2023-1-3-0001
112,SpaceBEE 159_x000D_,2023-1-3-0001
113,SpaceBEE 160_x000D_,2023-1-3-0001
114,SpaceBEE 161_x000D_,2023-1-3-0001
115,SpaceBEE 162_x000D_,2023-1-3-0001
116,SpaceBEE 163_x000D_,2023-1-3-0001
117,SpaceBEE 164_x000D_,2023-1-3-0001
118,SpaceBEE 165_x000D_,2023-1-3-0001
119,SpaceBEE 166_x000D_,2023-1-3-0001
120,SpaceBEE 167,2023-1-3-0001
121,STAR-VIBE_x000D_,2023-1-3-0001
122,Sternula 1_x000D_,2023-1-3-0001
123,Tau-Sat 2,2023-1-3-0001
124,Tianmu-1 01_x000D_,2023-1-3-0001
125,Tianmu-1 02_x000D_,2023-1-3-0001
126,Umbra SAR 4,2023-1-3-0001
127,Umbra SAR 5,2023-1-3-0001
128,Unicorn 2G_x000D_,2023-1-3-0001
129,Unicorn 2H_x000D_,2023-1-3-0001
130,Vigoride 5,
131,Vigoride 5_x000D_,2023-1-3-0001
132,WorldView Legion 1,2023-1-31-0003
133,WorldView Legion 2,2023-1-31-0003
134,WorldView Legion 3,2023-1-31-0003
135,WorldView Legion 4,2023-1-31-0003
136,YAM 5,2023-1-3-0001
137,ZEUS 1_x000D_,2023-1-3-0001